full_text,sentiment
@Kacaback678910 @CakKhum @gibran_tweet @DivHumas_Polri Dasar bego.... dikasih satire malah ga paham. Memang baru keluar dari goa kau rupanya,negative
KEMANUSIAAN YG ADIL &amp; BERADAB. Presiden RI hrs bertanggung-jawab atas tindakan Aparat Pemerintah RI-POLRI-yg mengakibatkan korban jiwa 135 org rakyat Indonesia di Kanjuruhan Malang Jatim.Pemerintah RI hrs meminta maaf kpd Bangsa Indonesia &amp; mbr santunan kecelakaan kepada korban. https://t.co/PpPZjy5MnE,neutral
Polda Metro Imbau Polres-Polsek Sosialisasikan Anti Tawuran Dan Narkoba Jakarta - Bidang Humas Polda Metro Jaya mengimbau jajaran Humas Polres dan Polsek mensosialisasikan anti tawuran dan bahaya Narkoba. @kapoldametrojaya @adeary_milcop @divisihumaspolri @spripim.polri https://t.co/jHs6Ocg4EE,neutral
@susno2g @YouTube JUJUR SAYA BERHARAO POLRI DAN ABRI BUBAR SEBAGAI PENGGANTINYA PPNS DAN SISHANKAMRATA. SEKARANG FAKTANYA ABRI DAN POLRI AKTIF SUDAH TIDAK KARENA ORANG2NTA SUDAH PENSIUN DAN TIDAK ADA REGENERASI. SELAMAT TINGGAL PARA PENINDAS RAKYAT PADA JAMAN ORBA....,negative
Kegiatan patroli sambang kamtibmas rutin dilaksanakan untuk memberikan keamanan kenyamanan dan ketertiban masyarakat serta antisipasi Curat Curas Curanmor dan gangguan Kamtibmas lainnya. @DivHumas_Polri @PoldaJogja @polresjogja @kapoldaDIY,neutral
Dalam kesempatan tersebut personel Samapta dialogis dengan warga menyampaikan pesan-pesan Kamtibmas dan himbauan untuk tetap waspada menjaga keamanan lingkungannya. @Spripim_Polri @ListyoSigitP #patrolijogja #poldajogja #polresjogja #humaspolsekgk,neutral
Senkom Mitra Polri Surabaya Gelar Rapimkot Siap Amankan Pilkada 2024 https://t.co/fUyXom3Nc0,positive
@CNNIndonesia Pak @prabowo yang semodel ini bagus kalau ditumpas sejak awal TNI dan polri sudah lebih dari Cukup,neutral
@darkknight_id @CakKhum @gibran_tweet @DivHumas_Polri Gayalu sok2an mau ungkap identitas orang di counter balik sengsara hidupmu. Mau juga identitasmu di ungkap ke publik ?,negative
Kehebatan Wakapolri Agus Andrianto Masuk Kabinet Merah Putih Prabowo-Gibran Bakal Kena Mutasi Polri #Wakapolri #AgusAndrianto #KabinetMerahPutih #PrabowoGibran #MutasiPolri #Prabowo #Gibran #Mutasi #Polri https://t.co/QjO3N72EGE via @tribunnews,neutral
@darkknight_id @CakKhum @gibran_tweet @DivHumas_Polri Orang Tolol yg sok Pinter berkelit muter². Hinaanmu sdh tercatat proses mas wapres @gibran_tweet . Tangkap orang ini pak @DivHumas_Polri,negative
@HappyIsNothing_ @gongxifdl @IndraDilianto Kayaknya ada aturan baru yang Dwi fungsi TNI/Polri,neutral
Kepala Divisi Humas Polri Irjen Pol. Dr. Sandi Nugroho S.I.K. S.H. M.Hum. mengucapkan Selamat Hari Kesatuan Gerak Bhayangkari Ke-72. Bhayangkari Mendukung Polri Presisi Membangun Negeri Menuju Indonesia Emas https://t.co/qO1nfsDrF1,positive
