text_asli,stem_text,label
dasar bego dikasih satire malah ga paham memang baru keluar dari goa kau rupanya,dasar bego kasih satire malah paham baru keluar goa rupa,negative
kemanusiaan yg adil dan,manusia adil,neutral
senkom mitra polri surabaya gelar rapimkot siap amankan pilkada,senkom mitra polri surabaya gelar rapimkot siap aman pilkada,neutral
pak yang semodel ini bagus kalau ditumpas sejak awal tni dan polri sudah lebih dari cukup,pak model bagus tumpas awal tni polri lebih,neutral
gayalu sokan mau ungkap identitas orang di counter balik sengsara hidupmu mau juga identitasmu di ungkap ke publik,gayalu sok mau ungkap identitas orang counter balik sengsara hidup mau identitas ungkap publik,negative
kehebatan wakapolri agus andrianto masuk kabinet merah putih prabowogibran bakal kena mutasi polri via,hebat wakapolri agus andrianto masuk kabinet merah putih prabowogibran bakal kena mutasi polri via,neutral
orang tolol yg sok pinter berkelit muter² hinaanmu sdh tercatat proses mas wapres tangkap orang ini pak,orang tolol sok pinter kelit muter hina catat proses mas wapres tangkap orang pak,negative
kayaknya ada aturan baru yang dwi fungsi tnipolri,kayak atur baru dwi fungsi tnipolri,neutral
kepala divisi humas polri irjen pol dr sandi nugroho sik sh mhum mengucapkan selamat hari kesatuan gerak bhayangkari ke bhayangkari mendukung polri presisi membangun negeri menuju indonesia emas,kepala divisi humas polri irjen pol sandi nugroho sik mhum ucap selamat hari satu gerak bhayangkari bhayangkari dukung polri presisi bangun negeri tuju indonesia emas,positive
kepala divisi humas polri irjen pol dr sandi nugroho sik sh mhum mengucapkan selamat atas pelantikan sekaligus selamat bertugas kepada presiden dan wakil presiden republik indonesia periode,kepala divisi humas polri irjen pol sandi nugroho sik mhum ucap selamat atas lantik sekaligus selamat tugas presiden wakil presiden republik indonesia periode,positive
ps kanit binmas polsek senori polres tuban polda jatim menghadiri kegiatan pembukaan kemah santri mihm di lapangan desa medalem,kanit binmas polsek senori polres tuban polda jatim hadir giat buka kemah santri mihm lapang desa medalem,neutral
live report giat patroli subuh piket sat lantas prabumulih di jl jend sudirman kota prabumulih senin oktober,live report giat patroli subuh piket sat lantas prabumulih jend sudirman kota prabumulih senin oktober,neutral
giat patroli subuh piket sat lantas prabumulih di jl jend sudirman kota prabumulih senin oktober,giat patroli subuh piket sat lantas prabumulih jend sudirman kota prabumulih senin oktober,neutral
hari menuju pemungutan suara pilkada serentak,hari tuju mungut suara pilkada serentak,neutral
masuk kepenghinaan,masuk hina,negative
setuju,tuju,neutral
menyala putera papua semoga membawa kebaikan bagi indonesia dan papua jangan ada lagi organisasi liar yang membahayakan para masyarakat tni dan,nyala putera papua moga bawa baik indonesia papua jangan organisasi liar bahaya masyarakat tni,positive
